"caseID","timeStamp","userID","targetApp","eventType","url","content","target.workbookName","target.sheetName","target.id","target.class","target.tagName","target.type","target.name","target.value","target.innerText","target.checked","target.href","target.option","target.title","target.innerHTML"
"1","2019-10-21T00:10:35.436Z","vleno","Excel","copyCell","","+61 039 689 9324","StudentRecords.xlsx","Sheet1","D2","","","","","+61 039 689 9324","","","","","",""
"1","2019-10-21T00:10:38.416Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","+61 039 689 9324","","","PhoneNumber","","INPUT","text","countrycode","","","","","","",""
"1","2019-10-21T00:10:45.633Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","PhoneNumber","","INPUT","text","countrycode","039-689-9324","","","","","",""
"1","2019-10-21T00:11:37.513Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"2","2019-10-21T00:12:32.853Z","vleno","Excel","copyCell","","+61 043 512 4834","StudentRecords.xlsx","Sheet1","D3","","","","","+61 043 512 4834","","","","","",""
"2","2019-10-21T00:12:36.848Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","+61 043 512 4834","","","PhoneNumber","","INPUT","text","countrycode","","","","","","",""
"2","2019-10-21T00:12:41.905Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","PhoneNumber","","INPUT","text","countrycode","043-512-4834","","","","","",""
"2","2019-10-21T00:13:28.072Z","vleno","Chrome","clickCheckbox","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","DecisionBox","","INPUT","checkbox","DecisionBox","on","","true","","","",""
"2","2019-10-21T00:13:28.073Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","DecisionBox","","INPUT","checkbox","DecisionBox","on","","true","","","",""
"2","2019-10-21T00:13:29.824Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
"3","2019-10-21T00:13:57.755Z","vleno","Excel","copyCell","","+61 035 376 0669","StudentRecords.xlsx","Sheet1","D4","","","","","+61 035 376 0669","","","","","",""
"3","2019-10-21T00:13:59.800Z","vleno","Chrome","paste","https://forms.zoho.com/universityofmelbourne/form/NewRecord","+61 035 376 0669","","","PhoneNumber","","INPUT","text","countrycode","","","","","","",""
"3","2019-10-21T00:14:05.073Z","vleno","Chrome","editField","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","PhoneNumber","","INPUT","text","countrycode","035-376-0669","","","","","",""
"3","2019-10-21T00:15:07.071Z","vleno","Chrome","clickButton","https://forms.zoho.com/universityofmelbourne/form/NewRecord","","","","","","BUTTON","submit","","submit","Submit","","","","","\n<em>Submit</em>\n"
